entity_id,case_id,sentence_id,type,original_span,normalized_label,start_char,end_char,attributes,rule_id
PMC5137649_01_C0001,PMC5137649_01,1,Symptom,lower quadrant abdominal pain,lower quadrant abdominal pain,70,99,"{""assertion"": ""present"", ""gazetteer_term"": ""lower quadrant abdominal pain""}",gazetteer_symptom_v1
PMC5137649_01_C0002,PMC5137649_01,1,Symptom,nausea,nausea,116,122,"{""assertion"": ""present"", ""gazetteer_term"": ""nausea""}",gazetteer_symptom_v1
PMC5137649_01_C0003,PMC5137649_01,1,Symptom,constipation,constipation,127,139,"{""assertion"": ""present"", ""gazetteer_term"": ""constipation""}",gazetteer_symptom_v1
PMC5137649_01_C0004,PMC5137649_01,2,Exam,physical examination,physical examination,229,249,"{""assertion"": ""present"", ""gazetteer_term"": ""physical examination""}",gazetteer_exam_v1
PMC5137649_01_C0005,PMC5137649_01,3,Exam,contrast enhanced computed tomography,computed tomography,282,319,"{""assertion"": ""present"", ""gazetteer_term"": ""contrast enhanced computed tomography""}",gazetteer_exam_v1
PMC5137649_01_C0006,PMC5137649_01,3,Finding,cystic lesion,cystic lesion,341,354,"{""assertion"": ""present"", ""gazetteer_term"": ""cystic lesion""}",gazetteer_finding_v1
PMC5137649_01_C0007,PMC5137649_01,3,AnatomicalSite,stomach,stomach,367,374,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0008,PMC5137649_01,3,AnatomicalSite,body/tail of the pancreas,pancreatic body/tail,379,404,"{""assertion"": ""present"", ""gazetteer_term"": ""body/tail of the pancreas""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0009,PMC5137649_01,4,Exam,EUS-FNA,endoscopic ultrasound-guided fine-needle aspiration,441,448,"{""assertion"": ""present"", ""gazetteer_term"": ""EUS-FNA""}",gazetteer_exam_v1
PMC5137649_01_C0010,PMC5137649_01,4,Finding,normal pancreatic echotexture,normal pancreatic echotexture,465,494,"{""assertion"": ""present"", ""gazetteer_term"": ""normal pancreatic echotexture""}",gazetteer_finding_v1
PMC5137649_01_C0011,PMC5137649_01,4,Finding,cyst,cyst,501,505,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0012,PMC5137649_01,4,Finding,internal septations,internal septations,543,562,"{""assertion"": ""negated"", ""gazetteer_term"": ""internal septations""}",gazetteer_finding_v1
PMC5137649_01_C0013,PMC5137649_01,4,Finding,associated masses,associated masses,566,583,"{""assertion"": ""negated"", ""gazetteer_term"": ""associated masses""}",gazetteer_finding_v1
PMC5137649_01_C0014,PMC5137649_01,4,AnatomicalSite,stomach,stomach,611,618,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0015,PMC5137649_01,5,Procedure,FNA,fine-needle aspiration,620,623,"{""assertion"": ""present"", ""gazetteer_term"": ""FNA""}",gazetteer_procedure_v1
PMC5137649_01_C0016,PMC5137649_01,5,Finding,cyst,cyst,631,635,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0017,PMC5137649_01,5,Diagnosis,malignancy,malignancy,664,674,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""malignancy""}",gazetteer_diagnosis_v1
PMC5137649_01_C0018,PMC5137649_01,5,Finding,extracellular mucin,extracellular mucin,704,723,"{""assertion"": ""present"", ""gazetteer_term"": ""extracellular mucin""}",gazetteer_finding_v1
PMC5137649_01_C0019,PMC5137649_01,5,Diagnosis,mucinous pancreatic cystic neoplasm,mucinous pancreatic cystic neoplasm,875,910,"{""assertion"": ""present"", ""certainty"": ""suspected"", ""gazetteer_term"": ""mucinous pancreatic cystic neoplasm""}",gazetteer_diagnosis_v1
PMC5137649_01_C0020,PMC5137649_01,6,Procedure,surgical resection,surgical resection,951,969,"{""assertion"": ""present"", ""gazetteer_term"": ""surgical resection""}",gazetteer_procedure_v1
PMC5137649_01_C0021,PMC5137649_01,7,Procedure,laparoscopic distal pancreatectomy,distal pancreatectomy,977,1011,"{""assertion"": ""present"", ""gazetteer_term"": ""laparoscopic distal pancreatectomy""}",gazetteer_procedure_v1
PMC5137649_01_C0022,PMC5137649_01,8,Procedure,laparoscopic exploration,laparoscopic exploration,1044,1068,"{""assertion"": ""present"", ""gazetteer_term"": ""laparoscopic exploration""}",gazetteer_procedure_v1
PMC5137649_01_C0023,PMC5137649_01,8,AnatomicalSite,posterior wall of the stomach,posterior wall of stomach,1139,1168,"{""assertion"": ""present"", ""gazetteer_term"": ""posterior wall of the stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0024,PMC5137649_01,8,AnatomicalSite,stomach,stomach,1226,1233,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0025,PMC5137649_01,8,AnatomicalSite,pancreas,pancreas,1238,1246,"{""assertion"": ""present"", ""gazetteer_term"": ""pancreas""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0026,PMC5137649_01,9,AnatomicalSite,pancreas,pancreas,1252,1260,"{""assertion"": ""present"", ""gazetteer_term"": ""pancreas""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0027,PMC5137649_01,9,Finding,cyst,cyst,1287,1291,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0028,PMC5137649_01,9,AnatomicalSite,stomach,stomach,1347,1354,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0029,PMC5137649_01,10,Exam,endoscopy,endoscopy,1371,1380,"{""assertion"": ""present"", ""gazetteer_term"": ""endoscopy""}",gazetteer_exam_v1
