entity_id,case_id,sentence_id,type,original_span,normalized_label,start_char,end_char,attributes,rule_id
PMC5137649_01_PATIENT,PMC5137649_01,,Patient,,patient,,,{},structural_patient_per_case_v1
PMC11722600_01_PATIENT,PMC11722600_01,,Patient,,patient,,,{},structural_patient_per_case_v1
PMC11783470_01_PATIENT,PMC11783470_01,,Patient,,patient,,,{},structural_patient_per_case_v1
PMC2817501_01_PATIENT,PMC2817501_01,,Patient,,patient,,,{},structural_patient_per_case_v1
PMC11368112_01_PATIENT,PMC11368112_01,,Patient,,patient,,,{},structural_patient_per_case_v1
PMC5137649_01_M0001,PMC5137649_01,3.0,Measurement,6cm,6 cm,337.0,340.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""cm"", ""value"": 6}",measurement_value_unit_v1
PMC5137649_01_M0002,PMC5137649_01,4.0,Measurement,6cm x 9cm,6 cm x 9 cm,516.0,525.0,"{""measurement_type"": ""dimension"", ""units"": [""cm"", ""cm""], ""values"": [6, 9]}",measurement_dimension_v1
PMC5137649_01_M0003,PMC5137649_01,5.0,Measurement,"12,476.5ng/ml",12476.5 ng/mL,777.0,790.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""ng/mL"", ""value"": 12476.5}",measurement_value_unit_v1
PMC5137649_01_M0004,PMC5137649_01,5.0,Measurement,6iu/ml,6 IU/mL,837.0,843.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""IU/mL"", ""value"": 6}",measurement_value_unit_v1
PMC5137649_01_M0005,PMC5137649_01,16.0,Measurement,9.5cm x 4.5cm x 2.0cm,9.5 cm x 4.5 cm x 2 cm,2073.0,2094.0,"{""measurement_type"": ""dimension"", ""units"": [""cm"", ""cm"", ""cm""], ""values"": [9.5, 4.5, 2]}",measurement_dimension_v1
PMC11722600_01_M0001,PMC11722600_01,1.0,Measurement,12 h,12 h,129.0,133.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""h"", ""value"": 12}",measurement_value_unit_v1
PMC11722600_01_M0002,PMC11722600_01,7.0,Measurement,8800/mm3,8800 /mm3,576.0,584.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""/mm3"", ""value"": 8800}",measurement_value_unit_v1
PMC11722600_01_M0003,PMC11722600_01,7.0,Measurement,"3800-10,000/mm3",3800-10000 /mm3,604.0,619.0,"{""high"": 10000, ""low"": 3800, ""measurement_type"": ""range"", ""unit"": ""/mm3""}",measurement_range_v1
PMC11722600_01_M0004,PMC11722600_01,7.0,Measurement,55 mg/L,55 mg/L,650.0,657.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""mg/L"", ""value"": 55}",measurement_value_unit_v1
PMC11722600_01_M0005,PMC11722600_01,7.0,Measurement,<5 mg/L,<5 mg/L,662.0,669.0,"{""comparator"": ""<"", ""measurement_type"": ""simple_measurement"", ""unit"": ""mg/L"", ""value"": 5}",measurement_value_unit_v1
PMC11722600_01_M0006,PMC11722600_01,7.0,Measurement,29 mm/h,29 mm/h,706.0,713.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""mm/h"", ""value"": 29}",measurement_value_unit_v1
PMC11722600_01_M0007,PMC11722600_01,7.0,Measurement,3-20 mm/h,3-20 mm/h,718.0,727.0,"{""high"": 20, ""low"": 3, ""measurement_type"": ""range"", ""unit"": ""mm/h""}",measurement_range_v1
PMC11722600_01_M0008,PMC11722600_01,9.0,Measurement,8 mm,8 mm,991.0,995.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""mm"", ""value"": 8}",measurement_value_unit_v1
PMC11722600_01_M0009,PMC11722600_01,9.0,Measurement,4 cm,4 cm,1074.0,1078.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""cm"", ""value"": 4}",measurement_value_unit_v1
PMC11722600_01_M0010,PMC11722600_01,13.0,Measurement,24 h,24 h,1681.0,1685.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""h"", ""value"": 24}",measurement_value_unit_v1
PMC11722600_01_M0011,PMC11722600_01,16.0,Measurement,6 month,6 month,2256.0,2263.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""month"", ""value"": 6}",measurement_value_unit_v1
PMC11783470_01_M0001,PMC11783470_01,6.0,Measurement,11.5 g/dL,11.5 g/dL,419.0,428.0,"{""measurement_type"": ""simple_measurement"", ""unit"": ""g/dL"", ""value"": 11.5}",measurement_value_unit_v1
PMC11783470_01_M0002,PMC11783470_01,6.0,Measurement,12.8%,12.8 %,453.0,458.0,"{""measurement_type"": ""percentage"", ""unit"": ""%"", ""value"": 12.8}",measurement_percentage_v1
